연도,자치구,주택유형,경과연수,노후주택수
2016,성동구,다세대주택,30년 이상,539
2016,광진구,다세대주택,30년 이상,684
2016,동대문구,다세대주택,30년 이상,1297
2016,중랑구,다세대주택,30년 이상,1028
2016,성북구,다세대주택,30년 이상,759
2016,강북구,다세대주택,30년 이상,983
2016,도봉구,다세대주택,30년 이상,670
2016,노원구,다세대주택,30년 이상,622
2016,은평구,다세대주택,30년 이상,4077
2016,서대문구,다세대주택,30년 이상,2662
2016,마포구,다세대주택,30년 이상,3952
2016,양천구,다세대주택,30년 이상,1828
2016,강서구,다세대주택,30년 이상,1391
2016,구로구,다세대주택,30년 이상,1735
2016,금천구,다세대주택,30년 이상,943
2016,영등포구,다세대주택,30년 이상,674
2016,동작구,다세대주택,30년 이상,1654
2016,관악구,다세대주택,30년 이상,2335
2016,서초구,다세대주택,30년 이상,1140
2016,강남구,다세대주택,30년 이상,1383
2016,송파구,다세대주택,30년 이상,1462
2016,강동구,다세대주택,30년 이상,2044
2017,종로구,단독주택,20년~30년미만,2674
2017,중구,단독주택,20년~30년미만,1737
2017,용산구,단독주택,20년~30년미만,4669
2017,성동구,단독주택,20년~30년미만,5401
2017,광진구,단독주택,20년~30년미만,8846
2017,동대문구,단독주택,20년~30년미만,7417
2017,중랑구,단독주택,20년~30년미만,11153
2017,성북구,단독주택,20년~30년미만,8460
2017,강북구,단독주택,20년~30년미만,7925
2017,도봉구,단독주택,20년~30년미만,4489
2017,노원구,단독주택,20년~30년미만,2410
2017,은평구,단독주택,20년~30년미만,7360
2017,서대문구,단독주택,20년~30년미만,4997
2017,마포구,단독주택,20년~30년미만,5513
2017,양천구,단독주택,20년~30년미만,4918
2017,강서구,단독주택,20년~30년미만,5573
2017,구로구,단독주택,20년~30년미만,6293
2017,금천구,단독주택,20년~30년미만,4484
2017,영등포구,단독주택,20년~30년미만,7792
2017,동작구,단독주택,20년~30년미만,6956
2017,관악구,단독주택,20년~30년미만,9900
2017,서초구,단독주택,20년~30년미만,2745
2017,강남구,단독주택,20년~30년미만,3809
2017,송파구,단독주택,20년~30년미만,5661
2017,강동구,단독주택,20년~30년미만,6298
2017,종로구,아파트,20년~30년미만,2971
2017,중구,아파트,20년~30년미만,1047
2017,용산구,아파트,20년~30년미만,2251
2017,성동구,아파트,20년~30년미만,10368
2017,광진구,아파트,20년~30년미만,13490
2017,동대문구,아파트,20년~30년미만,5071
2017,중랑구,아파트,20년~30년미만,24451
2017,성북구,아파트,20년~30년미만,2608
2017,강북구,아파트,20년~30년미만,9859
2017,도봉구,아파트,20년~30년미만,41219
2017,노원구,아파트,20년~30년미만,103281
2017,은평구,아파트,20년~30년미만,6851
2017,서대문구,아파트,20년~30년미만,9781
2017,마포구,아파트,20년~30년미만,8683
2017,양천구,아파트,20년~30년미만,20270
2017,강서구,아파트,20년~30년미만,46692
2017,구로구,아파트,20년~30년미만,15179
2017,금천구,아파트,20년~30년미만,4947
2017,영등포구,아파트,20년~30년미만,13563
2017,동작구,아파트,20년~30년미만,20536
2017,관악구,아파트,20년~30년미만,10298
2017,서초구,아파트,20년~30년미만,13484
2017,강남구,아파트,20년~30년미만,27901
2017,송파구,아파트,20년~30년미만,29358
2017,강동구,아파트,20년~30년미만,7291
2017,종로구,연립주택,20년~30년미만,2755
2017,중구,연립주택,20년~30년미만,878
2017,용산구,연립주택,20년~30년미만,1395
